LTS0210698,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,CHEMBL72165,O=C1c2cc(Br)ccc2-n2c1nc1ccccc1c2=O
LTS0206023,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,CHEMBL403032,COc1cc2c(cc1OC)-c1c(OC)c(OC)c(Br)c3c1[C@H](C2)N(C)CC3
CNP0071283,c1ccc(Cn2ccnc2)cc1,CHEMBL598391,Brc1cccc(Cn2ccnc2)c1
LTS0092642,Oc1ccccc1,CHEMBL108877,Oc1ccccc1Cl
CNP0080017,CCc1nc2ccccc2[nH]1,CHEMBL607512,FC(F)(F)C(F)(F)c1nc2c(I)c(I)c(I)c(I)c2[nH]1
CNP0080017,CCc1nc2ccccc2[nH]1,CHEMBL226921,FC(F)(F)C(F)(F)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1
LTS0014061,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL290077,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
LTS0083403,O=c1cc(-c2ccccc2)oc2ccccc12,CHEMBL294099,O=c1cc(-c2ccc(Br)cc2)oc2ccccc12
LTS0073840,CN1[C@H](C[C@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1,CHEMBL1257005,CN1[C@H](C[C@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1.Cl
CNP0360946,O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,CHEMBL1254571,O=C(O)c1c(F)c(F)c(F)c(F)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12
CNP0443699,c1ccc(-c2nc3ccccc3[nH]2)cc1,CHEMBL473162,Clc1ccccc1-c1nc2ccccc2[nH]1
CNP0339605,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,CHEMBL1200399,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
LTS0129096,CCCCOC(=O)c1ccc(O)cc1,CHEMBL4166909,CCCCOC(=O)c1ccc(O)c(I)c1
LTS0186584,c1ccc2c(c1)CN1CCCC1=N2,CHEMBL1333597,Brc1ccc2c(c1)CN1CCCC1=N2
CNP0146400.3,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,CHEMBL4474735,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@]2(F)Br)c(=O)n1
CNP0475997,COc1ccc2cccc(CCNC(C)=O)c2c1,CHEMBL1946221,COc1ccc2cccc(CCNC(=O)C(F)F)c2c1
CNP0209962,Nc1c2c(nc3ccccc13)CCCC2,CHEMBL1677,Cl.Nc1c2c(nc3ccccc13)CCCC2
CNP0190749,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,CHEMBL4282167,O=c1cc(-c2ccc(F)c(F)c2)oc2ccc3ccccc3c12
CNP0422641,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL468212,Fc1ccc(C(OCCN2CCN(C[C@H](F)Cc3ccccc3)CC2)c2ccc(F)cc2)cc1
LTS0162728,O=c1ccc2ccc(O)cc2o1,CHEMBL259249,O=c1ccc2ccc(O)c(Cl)c2o1
LTS0116548,O=C(O)c1ccccc1O,CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O
CNP0086238,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,CHEMBL332234,Fc1c(F)c(CN2CCCNCCNCCCNCC2)c(F)c(F)c1CN1CCCNCCNCCCNCC1
LTS0020870,CC(C)NCC(O)COc1cccc2ccccc12,CHEMBL1671,CC(C)NCC(O)COc1cccc2ccccc12.Cl
CNP0314755,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL1964382,CC(C)(c1cc(Br)c(O)c(I)c1)c1cc(Br)c(O)c(I)c1
CNP0136520,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,CHEMBL4635277,Oc1cc2c(cc1O)C(c1ccccc1Br)CNCC2
LTS0214623,CN1C(=O)[C@]23SS[C@@]1(C)C(=O)N2[C@H]1Nc2ccccc2[C@@]1([C@@]12c4ccccc4N[C@@H]1N1C(=O)[C@]4(C)SS[C@]1(C(=O)N4C)[C@H]2O)[C@@H]3O,CHEMBL4588147,CN1C(=O)[C@]23SS[C@@]1(C)C(=O)N2[C@H]1Nc2ccccc2[C@@]1([C@@]12c4cc(F)ccc4N[C@@H]1N1C(=O)[C@]4(C)SS[C@]1(C(=O)N4C)[C@H]2O)[C@@H]3O
LTS0060051,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4C[C@@](C)(C(=O)O)CC[C@]4(C)CC[C@]23C)C1(C)C,CHEMBL1630874,CC1(C)[C@@H](OC(=O)CCl)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
LTS0137687,O=C(/C=C/c1ccccc1)c1ccccc1,CHEMBL226715,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(Cl)cc1
CNP0254627,O=C(Cc1ccccc1)C(=O)Cc1ccccc1,CHEMBL1812851,O=C(C(=O)C(Br)c1ccccc1)C(Br)c1ccccc1
CNP0254627,O=C(Cc1ccccc1)C(=O)Cc1ccccc1,CHEMBL1812852,O=C(Cc1ccccc1)C(=O)C(Br)c1ccccc1
CNP0183942,c1ccc2c(c1)Nc1ccccc1S2,CHEMBL1553680,Fc1ccc2c(c1)Sc1ccccc1N2
CNP0136520,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,CHEMBL542700,Cl.Oc1cc2c(cc1O)C(c1ccccc1)CNCC2
CNP0333400,Cn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,CHEMBL1334062,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2
CNP0214327,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,CHEMBL1256400,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl
LTS0086551,OC1c2ccccc2N=C2CCCN21,CHEMBL1548699,OC1c2cc(Br)ccc2N=C2CCCN21
CNP0401956,c1ccc2c(c1)OCC(C1=NCCN1)O2,CHEMBL543467,Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2
LTS0142195,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,CHEMBL1630940,COc1ccc(C[C@@H](C)NCCOc2ccccc2OCC(F)(F)F)cc1S(N)(=O)=O
LTS0101484,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,CHEMBL12089,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]
CNP0161736,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,CHEMBL1200478,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl
CNP0340014,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,CHEMBL1187386,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)c(F)c2)cc1F
CNP0443519.1,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,CHEMBL1253289,COC(=O)[C@H](c1ccc(F)cc1)[C@H]1CCCCN1
CNP0299776,CC(=O)Nc1ccccc1,CHEMBL1240999,O=C(Nc1ccc(Br)cc1)C(Cl)Cl
